Qty,Populate,Refs,Value,Footprint,MPN,Manufacturer,Second source,Sourcing status,Notes
1,yes,L1,2.2uH,L_Murata_DFE201610P,DFE201612E-2R2M,Murata,"DFE201210S-2R2M (thinner, same land pattern family)","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","2.2 uH, DCR 116 mOhm - datasheet SLVSEC6D Table 4"
1,yes,Q1,2N7002,SOT-23,2N7002LT1G,onsemi,"2N7002,215 (Nexperia; same G-S-D pinout and SOT-23 land pattern)","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute",low-side /CE driver; VBUS pull-up keeps charging disabled at power-up
1,yes,R1,10k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,EN pull-up
1,yes,R2,3k3 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,"LED series, ~0.5 mA"
1,yes,R3,10k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,"SDA pull-up - main board, never on the island"
1,yes,R4,10k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,"SCL pull-up - main board, never on the island"
1,yes,R5,0R,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,EN tie - a resistor so EN can be lifted to measure Iq
1,yes,R6,267k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,VSET -> 3.30 V. Characterization only: 52k3 -> 3.00 V
1,yes,R7,100k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,Q1 gate pull-down: charge enable defaults low/off
1,yes,R8,100k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,EN1 pull-down: USB100 is the fail-safe reset/unconfigured state
1,yes,R9,100k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,/PGOOD pull-up
1,yes,R10,100k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,/CHG pull-up
1,yes,R11,8k00 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ILIM fallback: <=217 mA incl. KILIM and resistor tolerance; mode not selected
1,yes,R12,3k01 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ITERM: 0.03*3010/4420 = 20.4 mA nominal
1,yes,R13,4k42 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ISET: 890/4420 = 201 mA nominal; <=223 mA worst case
1,yes,R18,47k 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,/CE pull-up to VBUS: charger disabled before MCU power-up
1,yes,R16,5k1 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,CC1 pull-down - UFP advertisement
1,yes,R17,5k1 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,"CC2 pull-down - separate resistor, never shared"
1,yes,R14,2M2 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,VBAT divider top
1,yes,R15,2M2 1%,R_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,"VBAT divider bottom - 0.95 uA continuous, see EDS S6"
1,yes,SW1,SW_PROV,Panasonic_EVQPUJ_EVQPUA,EVQ-PUJ02K,Panasonic,TS-1187A-B-A-B (generic 3.5x2.9),"single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute",provisioning / boot button
1,yes,U1,ESP32-C6-MINI-1-N4,ESP32-C6-MINI-1,ESP32-C6-MINI-1-N4,Espressif,"ESP32-C6-MINI-1U-N4 (u.FL, needs external antenna)","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","Wi-Fi 6 / BLE 5.3 / 802.15.4 module, 4 MB flash"
1,yes,U2,SHT45-AD1F,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,SHT45-AD1F-R2,Sensirion,"SHT40-AD1B (cost-down, same footprint) / HDC3022 (2nd source, alt FP)","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","+-0.1 C / +-1.0 %RH, integrated PTFE filter membrane, I2C 0x44"
1,yes,U3,TPS62840DLC,TI_DLC0008B_VSON-HR-8_2x1.5mm_P0.5mm,TPS62840DLCR,Texas Instruments,TPS62841DLCR (lower Vout range - NOT drop-in for 3.0 V),"single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","750 mA buck, 60 nA Iq, 16 VSET-selectable outputs"
1,yes,U4,BQ24074RGTR,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,BQ24074RGTR,Texas Instruments,"BQ24075RGTR (same pinout, different DPPM/timer defaults)","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","1S Li-ion charger with power path, NTC, status outputs"
1,yes,U5,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,STMicroelectronics,PRTR5V0U2X,"single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute",USB ESD protection array
